INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status
<mark>Странник</mark> не ночевал на улице; двери мои я отворял прохожему.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	3468ccd2-7af9-4e01-b7d2-92cf3281ab6e	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
Итак выслушайте определение Господа, какое Он поставил об Едоме, и <mark>намерения</mark> Его, какие Он имеет о жителях Фемана: истинно, самые малые из стад повлекут их и опустошат жилища их.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	623df3a9-70b0-4b5d-b346-b6a02485e07c	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
(40:19) Возьмет ли кто его в глазах его и проколет ли ему <mark>нос</mark> багром?	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	35795b12-1de5-4525-a60e-70d8c466b461	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
(32:4) ибо слово Господне <mark>право</mark> и все дела Его верны.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	10e3ec15-c286-47b8-bf7c-d3d26adf9aed	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
Зевей и <mark>Салман</mark> побежали; он погнался за ними и схватил обоих царей Мадиамских, Зевея и Салмана, и весь стан привел в замешательство.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	8ba99d15-9584-455e-810d-1956c5f229c8	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
И рассказал ему Мардохей обо всем, что с ним случилось, и об определенном числе серебра, которое обещал Аман отвесить в <mark>казну</mark> царскую за Иудеев, чтобы истребить их;	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	5866bd3a-0be0-46e1-87ab-be9de180ac10	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
В проломы вы не входите и не ограждаете стеною дома Израилева,чтобы твердо стоять в <mark>сражении</mark> в день Господа.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	0350aac1-5226-498a-829f-23bf8bcc5156	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
в руке у него была <mark>книжка</mark> раскрытая. И поставил он правую ногу свою на море, а левую на землю,	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	31297b9a-a684-48c5-afd7-f946ad282e60	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
Железо железо острит, и человек изощряет <mark>взгляд</mark> друга своего.	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	1f0b0827-2a14-422e-beeb-39c561f8e5f8	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
и Аиалон и предместья его, и Гаф-Риммон и <mark>предместья</mark> его;	3				https://toloka.yandex.ru/task/28510230/0001b30816--6160886943740f1f7c195916	8660e0a9-a1ce-4054-8a91-9ca205b19afc	0001b30816--6160886943740f1f7c195916	3746cd0917b6bf14a3c7bca16ee96e7a	APPROVED
