INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:started	ASSIGNMENT:submitted
Разработка методов контроля и профилактики миопии остается актуальной задачей с учетом распространенности миопической рефракции (от 50 до 84% в азиатских странах и от 35 до 49% в странах <mark>Европы</mark> и США у лиц молодого возраста).	1				e5311a2f-4d99-47ba-a0bb-466e958f7afd	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Эксперты сформулировали от 30 до 40 исследовательских вопросов в каждой области и для определения приоритетности вопросов применили пять критериев, основанных на возможных ответах: ясность, ответственность, влияние, исполнение и относительность <mark>справедливости</mark>.	2				76165aa7-6a7b-4a2e-b2cc-88793023246c	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Изучение влияния приема кавинтона <mark>комфорте</mark> (КК) на выраженность когнитивных нарушений и моторной неловкости у больных с хронической ишемией головного мозга (ХИГМ).	2				fba193b2-4c19-48cc-9b59-665a6631f736	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Статистически значимых различий в распределении частот аллелей и генотипов dup16bp 3 интрона гена TP53 между исследуемой и контрольной <mark>группами</mark> выявлено не было.	2				15c4f4ac-4592-4112-8cd4-cbfadc43d649	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Их отношение к этой <mark>субсидии</mark> и предоставлению услуг общественного здравоохранения может повлиять на качество и эффективность профилактических медицинских услуг и наблюдения за заболеваниями.	3				043e3fda-a65b-42f1-8186-13ed2b64f4f6	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Эти пороговые значения не имеют большой ценности в процессе принятия компромиссных решений, с которыми приходится иметь <mark>дело</mark> отвественным лицам.	3				30e14f38-7f03-4d0a-a4c3-7be2b6f785f7	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Цель работы - оценка результатов применения операции Ребейна с экстраперитонеальным колоректальным анастомозом в сочетании с комплексным консервативным лечением у детей с вторичным мегаколон, возникшим на фоне хронического <mark>запора</mark>.	4				83ca994b-7ddf-4f17-8de6-2a4e626681fb	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
Соотношение показателей статокинетической устойчивости с использованием функциональных тестов и стороны васкулярной компрессии преддверно-улиткового нерва показало высокую чувствительность статокинетической функции к <mark>поворотам</mark> головы в сторону нейроваскулярного взаимодействия с ухудшением устойчивости в 17 (77,3%) случаях, а также незначительное в 15 (68,2%) и значительное в 7 (31,8%) случаях ухудшение статокинетической функции при оптокинетической стимуляции (p<0,05).	3				f8738a98-a933-41d1-b917-bc6f522a1feb	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
<mark>Семьям</mark> случайным образом назначали либо стандартное лечение, положенное в соответствии с национальной противотуберкулезной программой, осуществляемой в Перу (контрольная группа), либо такое же стандартное лечение в сочетании с социально-экономической поддержкой (экспериментальная группа).	2				87552735-0a85-463c-b645-b350a5126836	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
У всех пациентов на фоне лечения отмечены регресс <mark>жажды</mark>, уменьшение темпов диуреза и количества выделяемой мочи, а также нормализация уровня натрия.	1				708a3149-6f04-4fd1-9d9d-a67e0fa50686	00024b9ae4--642fd30032a7f91a00036a6b	fdd53e0018709e618b46807dc0a705b4	2023-04-07T08:23:28.046	2023-04-07T08:23:43.492
В данном случае под инфраструктурой понимаются не только системы здравоохранения и их людские ресурсы, но и правовая инфраструктура стран в области здравоохранения, а именно законы и положения, которые расширяют возможности, налагают обязательства и иногда вводят ограничения для деятельности <mark>правительств</mark> и частных лиц.	4				acaf0151-691a-448c-9cf8-36169567db6f	00024b9ae4--642fd3126ad9252448a5b983	c34bf20d9f61ef1a49b339b1c800d88a	2023-04-07T08:23:46.687	2023-04-07T08:24:13.040
Истинное суицидальное поведение положительно коррелировало с уровнем тревоги, депрессии, <mark>безнадежности</mark>, суицидальными интенциями; отрицательно - со злоупотреблением алкоголем, склонностью к наркотизации и импульсивностью.	4				19a69020-54b1-41f8-830c-9406169bd3af	00024b9ae4--642fd3126ad9252448a5b983	c34bf20d9f61ef1a49b339b1c800d88a	2023-04-07T08:23:46.687	2023-04-07T08:24:13.040
Раннее лечение может быть проведено с применением съемной и несъемной ортодонтической <mark>аппаратуры</mark>.	4				dc01b0a3-dab8-4e7b-a4fe-0005fca1872b	00024b9ae4--642fd3126ad9252448a5b983	c34bf20d9f61ef1a49b339b1c800d88a	2023-04-07T08:23:46.687	2023-04-07T08:24:13.040
Подход  В 2003 году система активного наблюдения программы по <mark>искоренению</mark> полиомиелита начала отчитываться о случаях заболевания корью и неонатальным столбняком.	4				4e5a531b-3775-4047-9ad4-153569ecff79	00024b9ae4--642fd3126ad9252448a5b983	c34bf20d9f61ef1a49b339b1c800d88a	2023-04-07T08:23:46.687	2023-04-07T08:24:13.040
