INPUT:text	OUTPUT:complexity	GOLDEN:complexity	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:started	ASSIGNMENT:submitted
Генеральная Ассамблея должна изучить положение, сложившееся в результате использования парниковых газов и ядерной радиации, которое равнозначно нарушению права на <mark>жизнь</mark>.	1				1d3bc80a-fe39-4ac1-b174-a72914593ea0	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
Материалы с изображением сексуального насилия над детьми могут иметь самую разную форму - фотографий, негативов, <mark>слайдов</mark>, журналов, книг, рисунков, кино- и видеофильмов, компьютерных дисков и файлов.	3				86bd928f-7418-4cbb-ab61-f15652a57f54	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
2. Временный Председатель напоминает, что на Совещании 2013 года Высоких Договаривающихся Сторон Председателем Совещания 2014 года Высоких Договаривающихся Сторон Конвенции было решено назначить посла <mark>Польши</mark>	1				f552053a-ca87-4d87-8d96-81329e3e7322	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
"96. Иногда заведен такой порядок, при котором власти либо перекладывают повседневные функции, связанные с функционированием тюрем, на ряд ""тюремных <mark>авторитетов</mark>"" и так называемых ""старших по камерам"", либо попустительствуют действиям паханов."	1				6563c374-d1ae-4b4a-9150-b6f60d4a2cd0	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
Под угрозами его заставили зачитать на <mark>видеокамеру</mark> неизвестный ему текст на украинском языке, а также подписать документы о том, что он готов работать на Службу безопасности Украины.	1				a8980c88-cfd8-42b0-a7bf-96a13f343865	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
15A - 11.4 Сечение наибольшего диаметра гика должно находиться на 2/3 длины гика, считая от <mark>мачты</mark>.	2				e0e3d3b2-7849-479e-a590-b630d56d9268	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
<mark>Суммирование</mark> показателей всех отраслей дает объем ВВП в базовых ценах, а объем ВВП в рыночных ценах рассчитывается путем прибавления к ВВП в базовых ценах налогов за вычетом субсидий на продукты.	1				38c0c16f-4800-406a-a13c-9483e0507076	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
67. На встрече в кафедральном <mark>соборе</mark> Сувы, Фиджи, лидеры всех основных религиозных конфессий однозначно заявили, что нет никаких религиозных или культурных оснований для совершения актов насилия в отношении женщин.	1				3b81759b-4012-4737-bb10-9d470457c7a1	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
Произошедшие 27 января 2014 года арест и задержание Оливера <mark>Ивановича</mark>, претендента на должность мэра Северной Митровицы из числа косовских сербов, также привели к усилению напряженности.	1				4a711a21-037c-496b-a53c-9064c89cf808	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
33. По случаю Международного дня труда Центр принял участие в первой конференции в <mark>Катаре</mark>, посвященной защите трудовых прав.	1				f592a88b-f68c-4fc0-81bd-5f86778243b0	00024bafed--642fdc4bdc4be92e38c38196	19e16d466b467cbd0189343851128806	2023-04-07T09:03:07.587	2023-04-07T09:03:28.036
